timestamp,model,thinking,task,trial,prompt_eval_count,eval_count,eval_duration_s,total_duration_s,tokens_per_sec,num_ctx,ollama_ps_size_gb,notes
2026-07-19T09:14:35,qwen3.5:4b,True,extract,1,23699,12035,292.95097,344.499641959,41.08195989246938,65536,5.7,
2026-07-19T09:20:20,qwen3.5:4b,True,extract,2,23699,12315,300.480892,300.777156084,40.98430325479732,65536,5.7,
2026-07-19T09:25:21,qwen3.5:4b,True,extract,3,23699,10904,263.585811999,263.887924541,41.367932201302885,65536,5.7,
2026-07-19T09:29:44,qwen3.5:4b,True,extract,4,23699,12514,305.468533,305.746917458,40.96657641656334,65536,5.7,
2026-07-19T09:34:50,qwen3.5:4b,True,extract,5,23699,15399,383.170007,383.447201542,40.188427378659625,65536,5.7,
